Artist,Song,Explicit,Explicit_f,Year,Popularity,Popularity_f,Danceability,Energy,Speechiness,Acousticness,Liveness,Valence,Genre
Robyn,Dancing On My Own,0,FALSE,2010,0.2,20,0.687,0.865,0.0349,0.0743,0.0966,0.261,"pop, Dance/Electronic"
Jennifer Lopez,Dance Again,0,FALSE,2012,0.2,20,0.797,0.867,0.0696,0.0158,0.0868,0.716,"hip hop, pop, R&B"
Jennifer Lopez,Ain't It Funny,0,FALSE,2001,0.2,20,0.707,0.869,0.0481,0.104,0.0813,0.621,"hip hop, pop, R&B"
Avril Lavigne,Here's to Never Growing Up,1,TRUE,2013,0.2,20,0.483,0.871,0.101,0.015,0.415,0.716,pop
Little Mix,Wings,0,FALSE,2012,0.2,20,0.738,0.875,0.127,0.000673,0.285,0.538,pop
Zedd,I Want You To Know,0,FALSE,2015,0.2,20,0.561,0.877,0.0659,0.00621,0.28,0.375,"hip hop, pop, Dance/Electronic"
P!nk,Stupid Girls,1,TRUE,2006,0.2,20,0.683,0.886,0.071,0.000738,0.0524,0.566,pop
P!nk,U + Ur Hand,1,TRUE,2006,0.2,20,0.709,0.891,0.0528,0.00144,0.034,0.886,pop
Otto Knows,Million Voices - Radio Edit,0,FALSE,2012,0.2,20,0.582,0.894,0.041,0.0022,0.0664,0.0694,"pop, Dance/Electronic"
CNCO,Reggaetón Lento (Remix),0,FALSE,2017,0.2,20,0.623,0.909,0.0758,0.158,0.0972,0.651,"pop, latin"
Miley Cyrus,Can't Be Tamed,0,FALSE,2010,0.2,20,0.63,0.91,0.144,0.0287,0.196,0.743,pop
Miley Cyrus,See You Again,0,FALSE,2007,0.2,20,0.692,0.911,0.177,0.0149,0.112,0.801,pop
Martin Garrix,Animals - Radio Edit,0,FALSE,2013,0.2,20,0.593,0.914,0.0363,0.00137,0.0714,0.0381,"pop, Dance/Electronic"
The Chainsmokers,#SELFIE - Original Mix,0,FALSE,2014,0.2,20,0.789,0.915,0.248,0.0135,0.0818,0.66,"pop, Dance/Electronic"
JLS,Beat Again - Radio Edit,0,FALSE,2009,0.2,20,0.894,0.93,0.0712,0.0355,0.0759,0.968,pop
Fedde Le Grand,Put Your Hands Up For Detroit - Radio Edit,0,FALSE,2015,0.2,20,0.827,0.931,0.202,0.0153,0.0992,0.491,"pop, Dance/Electronic"
Alexandra Stan,Mr. Saxobeat,0,FALSE,2011,0.2,20,0.726,0.931,0.0468,0.0218,0.143,0.797,"pop, Dance/Electronic"
Michel Teló,Ai Se Eu Te Pego - Live,0,FALSE,2012,0.2,20,0.676,0.935,0.0692,0.357,0.853,0.85,"country, latin"
Rascal Flatts,Life is a Highway,0,FALSE,2006,0.2,20,0.561,0.936,0.0613,0.00185,0.102,0.594,country
Eric Prydz,Proper Education - Radio Edit,0,FALSE,2007,0.2,20,0.537,0.937,0.0523,0.00102,0.0917,0.324,"pop, Dance/Electronic"
Lucenzo,Danza Kuduro (feat. Don Omar),0,FALSE,2011,0.2,20,0.622,0.942,0.112,0.00713,0.0715,0.773,latin
Basement Jaxx,Good Luck,0,FALSE,2003,0.2,20,0.571,0.968,0.162,0.0649,0.592,0.313,"pop, Dance/Electronic"
Cascada,Everytime We Touch - Radio Edit,0,FALSE,2011,0.2,20,0.64,0.977,0.0555,0.00461,0.371,0.493,"hip hop, pop, Dance/Electronic"
Westlife,You Raise Me Up,0,FALSE,2005,0.2,20,0.129,0.358,0.0314,0.631,0.0886,0.172,pop
Blueface,Thotiana,1,TRUE,2018,0.2,20,0.906,0.382,0.269,0.18,0.113,0.391,hip hop
5 Seconds of Summer,Easier,0,FALSE,2019,0.2,20,0.505,0.428,0.221,0.489,0.0977,0.618,pop
Adele,Hello,0,FALSE,2015,0.2,20,0.471,0.431,0.0342,0.329,0.0854,0.289,"pop, R&B"
Adele,Chasing Pavements,0,FALSE,2008,0.2,20,0.614,0.47,0.0255,0.291,0.111,0.329,"pop, R&B"
Aloe Blacc,I Need A Dollar,0,FALSE,2010,0.2,20,0.84,0.482,0.0333,0.202,0.0873,0.957,R&B
Liam Payne,Strip That Down,0,FALSE,2017,0.2,20,0.869,0.485,0.0545,0.246,0.0765,0.527,pop
Shayne Ward,No Promises,0,FALSE,2006,0.2,20,0.5,0.498,0.026,0.527,0.123,0.182,pop
Shayne Ward,That's My Goal,0,FALSE,2006,0.2,20,0.286,0.508,0.0336,0.372,0.27,0.14,pop
